freq_THz,Re_S11,Im_S11,Re_S21,Im_S21
17.080640,-1.10974071e-01,8.15414713e-02,-5.91066505e-01,-7.92822787e-01
17.103120,-1.10885448e-01,8.19775840e-02,-5.93358519e-01,-7.91072519e-01
17.125600,-1.10795252e-01,8.24139185e-02,-5.95645335e-01,-7.89315538e-01
17.148080,-1.10703480e-01,8.28504693e-02,-5.97926933e-01,-7.87551859e-01
17.170560,-1.10610130e-01,8.32872307e-02,-6.00203293e-01,-7.85781499e-01
17.193040,-1.10515200e-01,8.37241971e-02,-6.02474396e-01,-7.84004474e-01
17.215520,-1.10418687e-01,8.41613628e-02,-6.04740222e-01,-7.82220799e-01
17.238000,-1.10320589e-01,8.45987221e-02,-6.07000752e-01,-7.80430492e-01
17.260480,-1.10220904e-01,8.50362693e-02,-6.09255967e-01,-7.78633569e-01
17.282960,-1.10119630e-01,8.54739988e-02,-6.11505846e-01,-7.76830045e-01
17.305440,-1.10016764e-01,8.59119049e-02,-6.13750371e-01,-7.75019937e-01
17.327920,-1.09912304e-01,8.63499818e-02,-6.15989523e-01,-7.73203262e-01
17.350400,-1.09806248e-01,8.67882238e-02,-6.18223282e-01,-7.71380036e-01
17.372880,-1.09698594e-01,8.72266251e-02,-6.20451630e-01,-7.69550276e-01
17.395360,-1.09589340e-01,8.76651801e-02,-6.22674546e-01,-7.67713998e-01
17.417840,-1.09478484e-01,8.81038829e-02,-6.24892013e-01,-7.65871219e-01
17.440320,-1.09366024e-01,8.85427278e-02,-6.27104011e-01,-7.64021955e-01
17.462800,-1.09251957e-01,8.89817090e-02,-6.29310521e-01,-7.62166224e-01
17.485280,-1.09136281e-01,8.94208207e-02,-6.31511524e-01,-7.60304042e-01
17.507760,-1.09018995e-01,8.98600570e-02,-6.33707002e-01,-7.58435426e-01
17.530240,-1.08900097e-01,9.02994122e-02,-6.35896936e-01,-7.56560393e-01
17.552720,-1.08779585e-01,9.07388804e-02,-6.38081306e-01,-7.54678959e-01
17.575200,-1.08657456e-01,9.11784558e-02,-6.40260095e-01,-7.52791143e-01
17.597680,-1.08533709e-01,9.16181326e-02,-6.42433284e-01,-7.50896960e-01
17.620160,-1.08408341e-01,9.20579048e-02,-6.44600854e-01,-7.48996428e-01
17.642640,-1.08281352e-01,9.24977666e-02,-6.46762786e-01,-7.47089564e-01
17.665120,-1.08152739e-01,9.29377122e-02,-6.48919063e-01,-7.45176385e-01
17.687600,-1.08022501e-01,9.33777355e-02,-6.51069666e-01,-7.43256909e-01
17.710080,-1.07890635e-01,9.38178308e-02,-6.53214576e-01,-7.41331152e-01
